APM,PrecisionRelativa,IndiceCobertura,IndicePostDano,IET,DistanciaPromedio,VarianzaDistancia,Clase
30.00,0.2000,0.6997,0.0000,0.6676,12.4966,17.0400,0
96.00,0.9375,0.0000,0.0000,34.8471,1.7549,0.0939,1
102.00,0.4118,0.0586,0.0000,8.8132,9.8949,11.2099,2
114.00,0.4211,0.0000,0.0000,31.3299,2.6387,2.3661,2
36.00,0.1667,0.7037,1.0000,0.7518,13.1884,11.0533,0
114.00,0.5789,0.0104,0.0000,17.0255,5.6263,16.1902,2
138.00,0.3478,0.0000,0.0000,32.2716,3.2762,5.2873,2
54.00,0.2222,0.7246,1.0000,1.0190,13.5950,11.8421,3
36.00,0.1667,0.7171,0.0000,0.7882,11.9203,7.9774,0
36.00,0.1667,0.7000,0.0000,0.8284,12.0383,10.9473,3
138.00,0.5217,0.0201,0.0000,25.2091,4.3641,5.0967,2
138.00,0.1739,0.0000,0.0000,20.4022,5.7640,13.1948,2
108.00,0.8333,0.0000,0.0000,37.5929,1.8729,0.1039,1
132.00,0.9545,0.0000,0.0000,46.9944,1.8088,0.1882,1
42.00,0.7143,0.2074,1.0000,2.6725,11.4554,10.4482,3
36.00,0.3333,0.6043,0.0000,1.1829,11.0436,24.0825,0
24.00,0.0000,0.6098,1.0000,0.6551,13.2957,15.8907,0
66.00,0.6364,0.0114,0.0000,23.9908,1.7198,0.1949,1
126.00,0.9048,0.0000,0.0000,48.1335,1.6177,0.2040,1
48.00,0.1250,0.6651,0.0000,1.1723,12.7141,12.8198,3
30.00,0.0000,0.6792,0.0000,0.6560,13.6729,19.9662,0
114.00,1.0000,0.0107,0.0000,43.3964,1.5988,0.1526,1
36.00,0.1667,0.6683,1.0000,0.9877,11.0914,7.2059,0
36.00,0.1667,0.6916,0.0000,0.9092,11.2131,11.6270,0
60.00,0.2000,0.6686,1.0000,1.6237,11.2453,10.0458,3
48.00,0.8750,0.0198,0.0000,19.1506,1.4569,0.1578,1
138.00,0.3043,0.0000,0.0000,38.1463,2.6177,1.6865,2
60.00,0.2000,0.6574,0.0000,1.6167,11.7140,8.5687,3
36.00,0.1667,0.6756,0.0000,1.1028,9.5884,5.8444,0
102.00,0.8235,0.0112,0.0000,37.7245,1.6736,0.2346,1
114.00,0.2632,0.0000,0.0000,15.4303,6.3880,7.5976,2
60.00,0.2000,0.6355,0.0000,1.7160,11.7468,21.6485,3
30.00,0.2000,0.5035,0.0000,1.1066,12.4613,20.5422,0
36.00,0.1667,0.6962,1.0000,0.7382,13.8131,26.2529,0
138.00,0.3478,0.0000,0.0000,20.5106,5.7282,12.3412,2
78.00,0.3846,0.5402,1.0000,2.5551,13.0377,11.7929,3
36.00,0.1667,0.6750,0.0000,1.0922,9.7121,5.1577,0
30.00,0.0000,0.6968,0.0000,0.7370,11.3417,11.4276,0
162.00,0.4815,0.0193,0.0000,33.0492,3.8071,4.9914,2
30.00,0.4000,0.5763,0.0000,0.8489,13.9718,17.6558,0
36.00,0.1667,0.6645,1.0000,1.1552,9.4539,12.7256,0
114.00,0.8947,0.0000,0.0000,41.0982,1.7738,0.1662,1
96.00,0.2500,0.0000,0.0000,25.4382,2.7739,0.8458,2
60.00,0.1000,0.6730,0.0000,1.8046,9.8709,5.6823,3
36.00,0.3333,0.7111,0.0000,0.7386,13.0788,16.5428,0
102.00,1.0000,0.0000,0.0000,35.9131,1.8402,0.1068,1
138.00,0.3478,0.0000,0.0000,25.1297,4.4915,4.4093,2
102.00,1.0000,0.0000,0.0000,41.9386,1.4321,0.0125,1
36.00,0.1667,0.6933,0.0000,0.8538,11.9309,12.7489,0
138.00,0.3913,0.0279,0.0000,31.3820,3.2747,1.8542,2
114.00,0.4737,0.0000,0.0000,20.7474,4.4947,4.3237,2
66.00,0.8182,0.0000,0.0000,24.1824,1.7293,0.1983,1
96.00,0.5625,0.0000,0.0000,25.2096,2.8081,4.6643,2
114.00,0.8947,0.0000,0.0000,43.0188,1.6500,0.1661,1
72.00,0.3333,0.0000,0.0000,16.9155,3.2564,2.0026,2
66.00,0.8182,0.1710,0.5000,4.4750,11.2260,23.8953,3
36.00,0.3333,0.6404,0.0000,1.1318,10.4374,18.9210,0
120.00,0.9000,0.0116,0.0000,43.7031,1.7139,0.1394,1
120.00,0.3000,0.0000,0.0000,24.8099,3.8368,3.1388,2
54.00,0.2222,0.6195,0.0000,2.0172,9.1868,11.5768,3
36.00,0.1667,0.6973,0.0000,0.8660,11.5830,8.7359,0
96.00,0.8750,0.0210,0.0000,34.9767,1.6870,0.2208,1
114.00,0.8421,0.0000,0.0000,41.9495,1.7176,0.0974,1
48.00,0.3750,0.2875,0.5000,3.6306,8.4203,8.6773,3
30.00,0.0000,0.6024,0.0000,0.9576,11.4553,11.4174,0
102.00,0.9412,0.0000,0.0000,39.0334,1.6131,0.2160,1
72.00,0.5000,0.0589,0.0000,14.0568,3.8201,3.2155,2
60.00,0.1000,0.6983,1.0000,1.3366,12.5434,10.6118,3
36.00,0.1667,0.6746,1.0000,0.9013,11.9982,8.9232,0
96.00,0.9375,0.0192,0.0000,33.6584,1.7974,0.1576,1
138.00,0.2609,0.1542,0.0000,13.6030,7.5802,9.8254,2
138.00,0.0435,0.0000,0.0000,15.1726,8.0953,19.0441,2
48.00,0.2500,0.5737,0.0000,1.6017,11.7752,23.7698,3
90.00,0.9333,0.0000,0.0000,34.8997,1.5788,0.1719,1
144.00,0.5000,0.0000,0.0000,33.3995,3.3114,2.8681,2
48.00,0.1250,0.6913,1.0000,1.0395,13.2564,13.0187,3
36.00,0.3333,0.6325,0.0000,0.9375,13.1131,12.9071,0
36.00,0.1667,0.7104,0.0000,0.7434,13.0238,13.0618,0
66.00,0.4545,0.4832,0.0000,2.9081,10.7292,9.3286,3
108.00,0.8889,0.0000,0.0000,38.9245,1.7746,0.1940,1
24.00,0.0000,0.7625,1.0000,0.4922,10.5803,10.6257,0
78.00,1.0000,0.0112,0.0000,27.9318,1.7614,0.0707,1
96.00,0.3750,0.0000,0.0000,7.8874,11.1713,32.2694,2
54.00,0.2222,0.5656,1.0000,1.9242,11.1910,20.0221,3
36.00,0.1667,0.5973,0.0000,1.0509,12.7955,13.7442,0
120.00,1.0000,0.0000,0.0000,44.9410,1.6702,0.1744,1
120.00,0.4000,0.0000,0.0000,34.7133,2.4569,2.7229,2
42.00,0.5714,0.2737,1.0000,2.7151,10.2345,14.0830,3
30.00,0.0000,0.6419,1.0000,0.7555,13.2217,22.2170,0
114.00,0.0526,0.0110,0.0000,13.6471,7.2611,19.4764,2
72.00,0.3333,0.0250,0.0000,6.0497,10.6039,36.0489,2
66.00,0.1818,0.6583,1.0000,1.4816,14.2220,16.9743,3
36.00,0.1667,0.7127,0.0000,0.7024,13.7248,13.7689,0
84.00,0.9286,0.0129,0.0000,30.2702,1.7392,0.1669,1
114.00,0.3158,0.0583,0.0000,12.4378,7.6314,11.1838,2
66.00,0.0909,0.6850,0.0000,1.5306,12.5830,16.0921,3
36.00,0.1667,0.6671,0.0000,0.9226,11.9922,10.1659,0
102.00,0.7647,0.0109,0.0000,36.1833,1.7882,0.2185,1
84.00,0.5714,0.0000,0.0000,29.6396,1.8340,0.3078,2
48.00,0.2500,0.6211,0.0000,1.4018,11.9740,27.1852,3
30.00,0.2000,0.7040,0.0000,0.6765,12.1246,12.1631,0
84.00,0.9286,0.0000,0.0000,28.8287,1.9138,0.0825,1
72.00,0.2500,0.0000,0.0000,8.9209,7.0710,11.2385,2
54.00,0.1111,0.7402,1.0000,1.3533,9.3665,5.6792,3
30.00,0.0000,0.6952,1.0000,0.7272,11.5765,9.8530,0
114.00,0.8421,0.0000,0.0000,41.7816,1.7285,0.2111,1
168.00,0.4286,0.0000,0.0000,34.7208,3.8386,3.1595,2
54.00,0.2222,0.5728,0.0000,1.8762,11.2945,17.8862,3
36.00,0.1667,0.6998,0.0000,0.6983,14.4761,25.4691,0
114.00,0.7895,0.0110,0.0000,47.3299,1.3821,0.1692,1
114.00,0.4737,0.0000,0.0000,23.0349,3.9490,2.5065,2
60.00,0.2000,0.7231,1.0000,1.1193,13.8442,11.9612,3
42.00,0.1429,0.6953,1.0000,0.9104,13.0565,15.6623,0
90.00,0.9333,0.0169,0.0000,34.3766,1.5739,0.1693,1
126.00,0.3333,0.0000,0.0000,20.9387,5.0176,6.2712,2
48.00,0.1250,0.7159,0.0000,1.1395,10.9656,6.2717,3
30.00,0.2000,0.6962,0.0000,0.6405,13.2290,13.3811,0
78.00,0.6923,0.0109,0.0000,30.5483,1.5256,0.0869,1
84.00,0.4286,0.0000,0.0000,21.0421,2.9920,1.2176,2
48.00,0.1250,0.6531,0.0000,1.2135,12.7201,21.0994,3
36.00,0.1667,0.7044,1.0000,0.9468,10.2391,7.2561,0
114.00,0.2632,0.0000,0.0000,16.1135,6.0748,20.1203,2
96.00,0.4375,0.0665,0.5000,13.5130,5.6321,9.6734,2
54.00,0.2222,0.6410,1.0000,1.5001,11.9241,23.2505,3
30.00,0.2000,0.6714,0.0000,0.8688,10.3482,15.8846,0
90.00,0.9333,0.0121,0.0000,33.5697,1.6486,0.0886,1
78.00,0.3846,0.0000,0.0000,14.5574,4.3581,7.9044,2
84.00,0.4286,0.3302,0.0000,4.1614,12.5201,15.5763,3
78.00,0.1538,0.0000,0.0000,15.3806,4.0713,2.8758,2
114.00,0.7895,0.0000,0.0000,43.2666,1.6348,0.1993,1
114.00,0.4737,0.0000,0.0000,18.8831,5.0371,5.9796,2
66.00,0.1818,0.6948,1.0000,1.6661,11.0908,12.2788,3
30.00,0.2000,0.7124,0.0000,0.6239,12.8269,10.1484,0
84.00,0.8571,0.0116,0.0000,29.7214,1.7936,0.1281,1
174.00,0.4828,0.0000,0.0000,25.0734,5.9396,18.3161,2
54.00,0.4444,0.2942,0.0000,3.1393,11.1403,24.6203,3
78.00,0.4615,0.0000,0.0000,18.0062,3.3318,3.1140,2
66.00,0.1818,0.6816,1.0000,1.5289,12.7457,8.4830,3
174.00,0.2759,0.0107,0.0000,26.4336,5.5121,8.1806,2
60.00,0.3000,0.6184,1.0000,2.2141,9.3408,10.6436,3
30.00,0.2000,0.6642,0.0000,0.7992,11.6057,7.2553,0
72.00,0.7500,0.0113,0.0000,25.9540,1.7428,0.1801,1
168.00,0.5714,0.0000,0.0000,29.7121,4.6543,14.4949,2
72.00,0.7500,0.0000,0.0000,24.5968,1.9272,0.1264,1
36.00,0.1667,0.6859,1.0000,0.8639,12.0879,11.5238,0
54.00,0.1111,0.6711,1.0000,1.3508,12.1489,16.7557,3
96.00,0.2500,0.0711,0.5000,10.0998,7.8293,34.0537,2
60.00,0.3000,0.5697,1.0000,1.8537,12.9289,34.8131,3
102.00,0.3529,0.0116,0.0000,20.8974,3.8245,3.5656,2
42.00,0.1429,0.6839,0.0000,0.8456,14.6979,13.5805,0
102.00,0.8824,0.0000,0.0000,35.0467,1.9104,0.0956,1
36.00,0.1667,0.6308,0.0000,1.1904,10.1650,14.8721,0
30.00,0.2000,0.6108,1.0000,0.8419,12.8672,11.2773,0
96.00,0.8750,0.0196,0.0000,34.7737,1.7066,0.0708,1
84.00,0.2143,0.6600,1.0000,2.3971,10.9144,9.7752,3
54.00,0.2222,0.6608,1.0000,1.5237,11.0207,12.3231,3
30.00,0.4000,0.6204,0.0000,0.7762,13.6710,14.9991,0
72.00,0.8333,0.0111,0.0000,27.1766,1.6200,0.1432,1
102.00,0.4706,0.0000,0.0000,19.5238,4.2244,12.6371,2
60.00,0.1000,0.6864,0.0000,1.5990,10.7689,8.1766,3
42.00,0.1429,0.7048,0.0000,0.9181,12.5068,15.0877,0
132.00,0.9091,0.0000,0.0000,49.8448,1.6482,0.2193,1
114.00,0.2632,0.0000,0.0000,28.3085,3.0271,0.7557,2
60.00,0.2000,0.7008,1.0000,1.3093,12.7100,10.5058,3
36.00,0.1667,0.7267,1.0000,0.6982,13.0909,13.0278,0
102.00,0.9412,0.0000,0.0000,40.0943,1.5440,0.2117,1
138.00,0.3913,0.0593,0.5000,19.1747,5.7703,21.9423,2
30.00,0.0000,0.6153,0.0000,0.7817,13.7652,32.6957,3
30.00,0.2000,0.6866,0.0000,0.6559,13.3374,24.6493,0
84.00,1.0000,0.0000,0.0000,28.2731,1.9710,0.0050,1
144.00,0.4167,0.0928,0.5000,18.3220,6.1297,9.4297,2
138.00,0.8696,0.0000,0.0000,48.0716,1.8707,0.1047,1
30.00,0.0000,0.6785,1.0000,0.7008,12.7645,12.7627,0
84.00,0.7857,0.0104,0.0000,29.7140,1.7976,0.1795,1
78.00,0.4615,0.1221,0.0000,11.5473,4.9301,9.8923,2
66.00,0.1818,0.7004,0.0000,1.6748,10.8077,7.4341,3
36.00,0.3333,0.6014,0.0000,1.1834,11.1267,20.8525,0
102.00,0.8824,0.0109,0.0000,39.6716,1.5431,0.1682,1
138.00,0.3913,0.0000,0.0000,46.3837,1.9752,1.1220,2
60.00,0.2000,0.6983,1.0000,1.7017,9.6378,7.8718,3
36.00,0.3333,0.5758,1.0000,1.1859,11.8781,10.8654,0
96.00,0.7500,0.0191,0.0000,33.7185,1.7927,0.1352,1
114.00,0.5789,0.0000,0.0000,11.4656,8.9428,13.1666,2
84.00,0.1429,0.7196,0.0000,2.1389,10.0109,6.4059,3
36.00,0.1667,0.6427,0.0000,0.9828,12.0865,11.3009,0
126.00,0.9048,0.0117,0.0000,45.2876,1.7498,0.1254,1
102.00,0.5294,0.0000,0.0000,20.3005,4.0245,3.2543,2
54.00,0.1111,0.7195,0.0000,1.2182,11.4343,9.1511,3
36.00,0.1667,0.5760,1.0000,1.1358,12.4400,11.0225,0
72.00,0.9167,0.0193,0.0000,24.6776,1.8612,0.1386,1
162.00,0.3704,0.0000,0.0000,34.6841,3.6707,5.2495,2
60.00,0.2000,0.6794,0.0000,1.2747,14.0882,15.4309,3
48.00,0.1250,0.7067,0.0000,1.4676,8.5915,4.9163,3
78.00,1.0000,0.0000,0.0000,26.1767,1.9798,0.0338,1
60.00,0.2000,0.6905,0.0000,1.3527,12.7267,23.6924,3
54.00,0.0000,0.7314,1.0000,1.0421,12.9175,19.0988,3
36.00,0.1667,0.6612,1.0000,1.0983,10.1067,14.2447,0
48.00,0.8750,0.0000,0.0000,17.9400,1.6756,0.2130,1
36.00,0.1667,0.6547,0.0000,1.0241,11.1386,7.9611,0
78.00,1.0000,0.0103,0.0000,27.5729,1.7996,0.1800,1
30.00,0.0000,0.6729,0.0000,0.7905,11.4137,12.2097,0
90.00,0.8667,0.0109,0.0000,34.2595,1.5984,0.1727,1
150.00,0.4400,0.0000,0.0000,30.1361,3.9774,3.6128,2
90.00,0.4000,0.5580,0.0000,3.0012,12.2539,25.0992,3
30.00,0.2000,0.6215,0.0000,0.8078,13.0585,28.0041,0
36.00,0.0000,0.6965,0.0000,0.9059,11.0608,12.0228,0
36.00,0.1667,0.6982,0.0000,0.9418,10.5357,10.4156,0
66.00,0.8182,0.1839,0.0000,5.9394,8.0683,21.8727,3
36.00,0.1667,0.7577,0.0000,0.7422,10.7499,5.3909,0
114.00,0.9474,0.0000,0.0000,44.2582,1.5758,0.2198,1
120.00,0.4500,0.0000,0.0000,25.6317,3.6817,6.0539,2
78.00,0.1538,0.7074,1.0000,1.4897,14.3226,15.7113,3
36.00,0.1667,0.6584,1.0000,1.0520,10.6917,9.2055,0
120.00,0.7000,0.0101,0.0000,42.6008,1.7885,0.1954,1
144.00,0.3333,0.0000,0.0000,28.0806,4.1281,7.2251,2
48.00,0.2500,0.5705,0.0000,1.5921,11.9485,20.5610,3
36.00,0.1667,0.5887,0.0000,1.1531,11.8404,10.7744,0
72.00,0.1667,0.7078,0.0000,1.5128,12.9062,15.3696,3
72.00,0.3333,0.0000,0.0000,20.2818,2.5500,0.9693,2
72.00,0.1667,0.6955,1.0000,1.8072,11.1329,10.1187,3
84.00,0.2143,0.6761,1.0000,2.2206,11.2522,9.3757,3
108.00,0.8889,0.0111,0.0000,38.8843,1.7466,0.2166,1
114.00,0.4737,0.0949,0.0000,12.1551,7.4884,11.9062,2
78.00,0.1538,0.5890,0.0000,2.7702,10.5717,13.0693,3
30.00,0.0000,0.6758,0.0000,0.7775,11.5094,11.9584,0
102.00,0.9412,0.0000,0.0000,37.5732,1.7147,0.1805,1
156.00,0.5769,0.0000,0.0000,36.5124,3.2725,2.2132,2
42.00,0.0000,0.7787,1.0000,0.8088,10.4909,6.5533,3
138.00,0.2174,0.0000,0.0000,10.4486,12.2075,37.1208,2
